2026-01-21 00:34:36,097 | waypoint_module | INFO | ...dist=16.8m gs=7.35 alt=30.0
2026-01-21 00:34:36,297 | waypoint_module | INFO | ...dist=15.0m gs=7.01 alt=30.0
2026-01-21 00:34:36,515 | waypoint_module | INFO | ...dist=13.3m gs=6.65 alt=30.0
2026-01-21 00:34:36,728 | waypoint_module | INFO | ...dist=11.7m gs=6.29 alt=30.0
2026-01-21 00:34:36,930 | waypoint_module | INFO | ...dist=10.2m gs=5.93 alt=30.0
2026-01-21 00:34:37,144 | waypoint_module | INFO | ...dist=8.8m gs=5.56 alt=30.0
2026-01-21 00:34:37,346 | waypoint_module | INFO | ...dist=8.8m gs=5.56 alt=30.0
2026-01-21 00:34:37,547 | waypoint_module | INFO | ...dist=7.4m gs=5.19 alt=30.0
2026-01-21 00:34:37,762 | waypoint_module | INFO | ...dist=6.2m gs=4.81 alt=30.0
2026-01-21 00:34:37,980 | waypoint_module | INFO | ...dist=5.0m gs=4.43 alt=30.0
2026-01-21 00:34:38,196 | waypoint_module | INFO | ...dist=4.0m gs=4.04 alt=30.0
2026-01-21 00:34:38,412 | waypoint_module | INFO | ...dist=3.0m gs=3.64 alt=30.0
2026-01-21 00:34:38,628 | waypoint_module | INFO | ...dist=3.0m gs=3.64 alt=30.0
2026-01-21 00:34:38,828 | waypoint_module | INFO | ...dist=2.1m gs=3.23 alt=30.0
2026-01-21 00:34:39,028 | waypoint_module | INFO | ...dist=1.4m gs=2.82 alt=30.0
2026-01-21 00:34:39,244 | waypoint_module | INFO | ...dist=0.7m gs=2.39 alt=30.0
2026-01-21 00:34:39,460 | waypoint_module | INFO | ...dist=0.2m gs=1.94 alt=30.0
2026-01-21 00:34:39,676 | waypoint_module | INFO | ...dist=0.3m gs=1.46 alt=30.0
2026-01-21 00:34:39,890 | waypoint_module | INFO | ...dist=0.3m gs=1.46 alt=30.0
2026-01-21 00:34:40,091 | waypoint_module | INFO | ...dist=0.6m gs=1.00 alt=30.0
2026-01-21 00:34:40,305 | waypoint_module | INFO | ...dist=0.8m gs=0.60 alt=30.0
2026-01-21 00:34:40,506 | waypoint_module | INFO | ...dist=0.9m gs=0.28 alt=30.0
2026-01-21 00:34:40,720 | waypoint_module | INFO | ...dist=0.9m gs=0.04 alt=30.0
2026-01-21 00:34:40,922 | waypoint_module | INFO | ...dist=0.9m gs=0.12 alt=30.0
2026-01-21 00:34:41,125 | waypoint_module | INFO | ...dist=0.9m gs=0.12 alt=30.0
2026-01-21 00:34:41,339 | waypoint_module | INFO | ...dist=0.9m gs=0.22 alt=30.0
2026-01-21 00:34:41,553 | waypoint_module | INFO | ...dist=0.8m gs=0.27 alt=30.0
2026-01-21 00:34:41,758 | waypoint_module | INFO | ...dist=0.7m gs=0.29 alt=30.0
2026-01-21 00:34:41,973 | waypoint_module | INFO | ...dist=0.7m gs=0.28 alt=30.0
2026-01-21 00:34:42,175 | waypoint_module | INFO | ...dist=0.6m gs=0.26 alt=30.0
2026-01-21 00:34:42,391 | waypoint_module | INFO | ...dist=0.6m gs=0.26 alt=30.0
2026-01-21 00:34:42,604 | waypoint_module | INFO | ...dist=0.5m gs=0.24 alt=30.0
2026-01-21 00:34:42,804 | waypoint_module | INFO | ...dist=0.5m gs=0.21 alt=30.0
2026-01-21 00:34:43,019 | waypoint_module | INFO | ...dist=0.4m gs=0.18 alt=30.0
2026-01-21 00:34:43,223 | waypoint_module | INFO | ...dist=0.4m gs=0.16 alt=30.0
2026-01-21 00:34:43,438 | waypoint_module | INFO | ...dist=0.3m gs=0.14 alt=30.0
2026-01-21 00:34:43,653 | waypoint_module | INFO | ...dist=0.3m gs=0.14 alt=30.0
2026-01-21 00:34:43,855 | waypoint_module | INFO | ...dist=0.3m gs=0.12 alt=30.0
2026-01-21 00:34:44,057 | waypoint_module | INFO | ...dist=0.3m gs=0.11 alt=30.0
2026-01-21 00:34:44,272 | waypoint_module | INFO | ...dist=0.2m gs=0.10 alt=30.0
2026-01-21 00:34:44,485 | waypoint_module | INFO | ARRIVED ✅ dist=0.23m gs=0.09m/s alt=30.0
2026-01-21 00:34:44,485 | mission_manager | INFO | Starting person follow (inline)...
2026-01-21 00:36:04,332 | mission_manager | INFO | Mission complete ✅
2026-01-21 08:02:36,707 | mission_manager | INFO | Starting mission (sitl=True) -> target=(33.7496616, 73.1676921, 30.0m)
2026-01-21 08:02:36,707 | vehicle_utils | INFO | Connecting to vehicle: tcp:127.0.0.1:5762 (sitl=True)
2026-01-21 08:02:44,810 | mission_manager | ERROR | Mission failed in state=State.CONNECT: [WinError 10061] No connection could be made because the target machine actively refused it
Traceback (most recent call last):
